
Void Main        Original Author
Skystreet        Saved A16 version from nexus oblivion
nethrez1m        HugsLib / RimWorldChildren fixes
prkr_jmsn        A17 compatibility, Genital injection, sounds, filth
Goddifist        ideas
shark510         textures, testing
Soronarr         Surgery recipes, monstergirls
semigimp         general coding
AngleWyrm        textures
Alanetsai        chinese traditional translations
nizhuan-jjr      chinese simplified translations, general coding, bugsfix, whore system, broken body system, balancing, testing, textures, previews, etc.
g0ring           coding idea, bugfix
StarlightG       coding idea, bugfix
SuperHotSausage  xml improvements, stuff
Sidfu            xml modder

And many others who contributed to this project.
